"NPL pack ID";"Nordic"
"19911001100089";"043919"
"19911001100096";"009282"
"19911001100102";"043935"
"19911001100119";"009340"
"19911001100300";"085530"
"19911001100317";"085928"
"19911001100423";"191692"
"19911001100430";"191742"
"19911129100015";"404103"
"19911129100039";"405100"
"19911129100046";"403832"
"19920101100080";"190499"
"19920101100103";"021317"
"19920101100271";"117010"
"19920101100394";"093211"
"19920101100400";"429100"
"19920101100417";"093203"
"19920101100424";"004374"
"19920124100012";"057307"
"19920225100010";"431239"
"19920225100027";"431254"
"19920401100100";"485441"
"19920401100223";"456293"
"19920401100230";"456301"
"19920401100599";"459313"
"19920401100605";"459305"
"19920401100612";"458992"
"19920401100629";"459503"
"19920401100643";"459495"
"19920401100650";"459347"
"19920401100728";"468975"
"19920401100735";"468983"
"19920701100442";"556423"
"19920701100534";"418731"
"19920701100558";"445759"
"19920701100565";"445544"
"19920701100664";"556415"
"19920918100013";"542423"
"19920929100019";"562892"
"19921001100057";"505917"
"19921001100354";"176226"
"19921001100637";"018434"
"19921007100013";"559625"
"19921023100059";"154708"
"19921023100066";"154591"
"19930101100041";"487900"
"19930101100065";"554808"
"19930101100218";"428441"
"19930101100225";"428524"
"19930101100294";"564229"
"19930101100454";"559633"
"19930101100546";"524223"
"19930101100553";"524215"
"19930205100015";"093260"
"19930205100022";"093252"
"19930319100017";"154054"
"19930319100024";"153940"
"19930319100031";"441469"
"19930401100598";"100909"
"19930401100604";"101014"
"19930401100611";"101097"
"19930423100019";"402123"
"19930507100034";"144030"
"19930621100019";"448209"
"19930621100033";"196022"
"19930630100017";"002607"
"19930701100212";"116541"
"19930701100373";"082974"
"19930701100403";"152991"
"19931001100186";"196550"
"19931001100261";"482752"
"19931001100278";"482794"
"19931001100292";"482786"
"19931001100339";"195040"
"19931001100384";"499185"
"19931001100391";"439076"
"19931001100407";"034475"
"19931001100520";"422162"
"19931001100551";"049551"
"19931001100681";"437574"
"19931203100076";"149500"
"19931203100083";"149419"
"19931203100090";"149393"
"19931230100018";"567503"
"19931230100032";"567511"
"19931230100049";"567529"
"19931230100056";"567537"
"19940101100057";"588574"
"19940101100088";"105882"
"19940101100095";"105874"
"19940101100101";"105908"
"19940101100118";"130476"
"19940101100132";"131185"
"19940101100170";"130963"
"19940101100187";"131003"
"19940101100194";"131037"
"19940101100385";"585505"
"19940128100016";"088514"
"19940128100023";"088523"
"19940128100030";"585554"
"19940128100054";"585497"
"19940401100016";"583989"
"19940401100221";"064824"
"19940401100375";"012869"
"19940530100017";"000675"
"19940531100016";"000686"
"19940531100023";"000664"
"19940630100016";"160754"
"19940701100044";"371039"
"19940701100327";"584219"
"19941001100154";"380972"
"19941001100253";"380824"
"19941017100018";"164807"
"19941017100025";"164818"
"19950101100087";"177345"
"19950101100117";"372805"
"19950101100131";"577908"
"19950101100148";"008276"
"19950101100186";"505693"
"19950101100193";"019108"
"19950101100209";"019094"
"19950101100216";"018995"
"19950101100223";"019167"
"19950101100315";"575357"
"19950101100322";"575365"
"19950101100360";"074286"
"19950101100384";"115642"
"19950401100022";"029116"
"19950401100039";"165852"
"19950401100176";"001123"
"19950401100244";"001131"
"19950401100268";"377259"
"19950401100428";"164871"
"19950401100510";"377333"
"19950401100664";"028886"
"19950522100017";"372433"
"19950522100024";"386896"
"19950522100031";"386904"
"19950524100107";"070797"
"19950628100010";"012674"
"19950628100027";"012823"
"19950628100034";"012922"
"19950628100041";"012906"
"19950628100058";"013292"
"19950628100065";"013110"
"19950701100081";"013441"
"19950701100173";"467886"
"19950701100180";"559062"
"19950701100289";"091751"
"19950701100296";"091769"
"19950701100302";"097881"
"19950701100555";"048330"
"19950802100041";"094391"
"19950802100058";"094375"
"19950802100065";"094383"
"19950802100072";"094342"
"19950807100015";"462813"
"19951001100030";"124321"
"19951001100122";"009126"
"19951001100139";"009753"
"19951001100344";"027235"
"19951001100511";"177543"
"19951001100597";"114314"
"19951001100603";"010140"
"19951108100018";"194704"
"19951220100026";"061615"
"19951220100033";"061624"
"19960101100031";"389007"
"19960101100093";"074805"
"19960101100109";"074796"
"19960101100666";"399717"
"19960101100673";"399725"
"19960401100175";"401570"
"19960401100212";"171306"
"19960401100229";"397364"
"19960401100298";"399857"
"19960401100342";"175612"
"19960401100441";"386953"
"19960701100073";"422253"
"19960701100189";"124735"
"19960701100196";"124743"
"19960701100202";"123992"
"19960807100021";"101938"
"19960815100013";"420364"
"19960822100013";"373084"
"19960927100031";"176214"
"19960927100048";"128058"
"19960927100055";"398297"
"19960927100062";"398263"
"19961001100107";"155648"
"19961001100114";"153536"
"19961001100176";"419754"
"19961001100206";"169433"
"19961001100213";"168997"
"19961001100237";"129098"
"19961001100244";"129106"
"19961122100024";"443754"
"19961122100031";"443861"
"19961122100048";"443903"
"19970101100030";"552331"
"19970310100029";"489963"
"19970312100010";"193003"
"19970321100018";"001581"
"19970321100025";"001967"
"19970321100049";"001956"
"19970321100056";"001978"
"19970321100070";"001989"
"19970327100050";"469932"
"19970327100067";"469890"
"19970327100074";"469874"
"19970327100081";"469866"
"19970327100098";"469817"
"19970411100157";"473934"
"19970411100164";"473868"
"19970425100198";"025783"
"19970528100019";"472431"
"19970528100026";"472449"
"19970606100139";"467340"
"19970606100146";"467365"
"19970619100041";"088674"
"19970619100140";"018792"
"19970619100157";"018781"
"19970714100052";"454439"
"19970714100069";"454454"
"19970714100083";"490169"
"19970714100090";"454678"
"19970714100106";"454686"
"19970905100045";"497644"
"19970905100052";"497669"
"19970905100076";"048827"
"19970905100083";"023606"
"19970905100090";"048843"
"19970905100106";"023622"
"19971014100032";"141945"
"19971014100049";"141432"
"19971014100063";"142083"
"19971030100207";"174664"
"19971030100245";"174433"
"19971114100093";"510065"
"19971212100056";"139402"
"19971212100063";"139394"
"19971212100070";"160041"
"19971212100087";"139022"
"19971212100094";"160052"
"19971212100117";"518332"
"19971212100124";"518373"
"19971216100014";"428128"
"19971216100021";"566992"
"19980115100018";"512087"
"19980118100015";"530188"
"19980118100022";"530162"
"19980119100014";"000681"
"19980119100021";"000668"
"19980119100038";"000657"
"19980120100027";"001780"
"19980206100064";"481465"
"19980206100071";"481499"
"19980206100101";"486167"
"19980306100018";"108126"
"19980306100032";"531020"
"19980306100100";"439075"
"19980306100117";"438994"
"19980318100020";"101916"
"19980320100223";"076935"
"19980403100119";"486274"
"19980403100126";"371427"
"19980403100195";"371435"
"19980414100054";"525345"
"19980422100015";"187387"
"19980512100024";"009339"
"19980512100031";"008744"
"19980512100055";"009328"
"19980512100123";"009361"
"19980512100130";"009372"
"19980512100154";"083097"
"19980512100178";"009350"
"19980512100215";"009405"
"19980512100222";"009383"
"19980512100246";"083345"
"19980512100253";"009394"
"19980512100277";"085258"
"19980512100284";"083626"
"19980512100321";"083618"
"19980512100345";"009438"
"19980512100352";"009416"
"19980512100369";"009427"
"19980512100376";"017345"
"19980513100016";"000299"
"19980516100013";"513887"
"19980610100025";"498972"
"19980610100032";"498964"
"19980610100056";"498998"
"19980610100063";"061077"
"19980610100070";"004259"
"19980610100087";"498980"
"19980610100117";"499004"
"19980610100124";"499012"
"19980610100131";"499020"
"19980610100162";"499038"
"19980612100054";"446393"
"19980612100078";"446385"
"19980626100385";"017508"
"19980717100133";"394767"
"19980717100140";"396051"
"19980717100164";"397562"
"19980717100171";"397588"
"19980717100195";"398222"
"19980729100022";"156596"
"19980729100039";"016387"
"19980731100058";"114447"
"19980731100065";"540989"
"19980805100021";"480863"
"19980805100038";"480897"
"19980817100019";"015405"
"19980817100033";"522037"
"19980817100057";"517698"
"19980817100071";"008710"
"19980817100118";"520742"
"19980817100149";"522052"
"19980817100194";"522078"
"19980817100217";"007092"
"19980827100016";"374405"
"19980827100023";"184598"
"19980911100038";"013059"
"19980925100017";"374397"
"19981001100013";"539353"
"19981001100020";"539361"
"19981001100037";"539395"
"19981001100044";"539452"
"19981009100091";"464545"
"19981023100015";"016642"
"19981023100022";"016618"
"19981023100053";"017715"
"19981023100060";"017806"
"19981023100084";"049187"
"19981120100062";"167374"
"19981125100012";"175570"
"19981208100014";"465955"
"19981208100021";"466474"
"19981216100013";"409763"
"19981216100044";"409516"
"19981216100099";"409474"
"19981216100105";"409417"
"19981218100080";"546507"
"19981218100462";"063180"
"19981218100479";"063255"
"19981221100015";"547489"
"19981221100022";"547406"
"19981229100178";"411025"
"19990112100010";"543587"
"19990112100027";"543561"
"19990112100034";"047587"
"19990114100018";"521757"
"19990128100257";"443085"
"19990219100012";"082819"
"19990302100011";"481275"
"19990302100097";"480913"
"19990302100103";"481051"
"19990602100018";"491639"
"19990604100276";"182485"
"19990604100283";"181313"
"19990604101228";"177584"
"19990611100016";"061481"
"19990621100013";"546077"
"19990702100178";"019372"
"19990902100022";"053371"
"19990902100091";"053413"
"19990907100058";"511071"
"19990910100014";"399386"
"19990910100021";"399634"
"19990924100017";"147208"
"19990924100024";"147230"
"19990924100031";"147219"
"19990924100291";"397638"
"19990924100307";"397646"
"19990924100314";"397653"
"19991019100011";"000005"
"19991104100742";"161547"
"19991104100766";"159533"
"19991104100780";"507590"
"19991104100841";"507269"
"19991104100858";"507145"
"19991116100143";"025213"
"19991116100150";"025445"
"19991119100249";"578336"
"19991119100270";"578294"
"19991119100287";"130716"
"19991119100300";"130179"
"19991123100013";"000884"
"19991123100020";"000895"
"19991123100044";"000861"
"19991203100025";"000777"
"19991203100032";"591776"
"19991203100049";"563841"
"19991203100117";"390971"
"19991203100124";"001120"
"19991203100339";"390336"
"19991203100346";"390997"
"19991203100360";"001194"
"19991203100551";"391268"
"19991203100568";"001205"
"19991217100103";"592816"
"19991229100115";"167387"
"19991229100443";"026785"
"20000101100092";"128702"
"20000101100115";"132662"
"20000117100017";"014255"
"20000117100024";"014268"
"20000203100044";"000284"
"20000203100051";"000250"
"20000203100068";"000262"
"20000203100075";"000287"
"20000211100142";"097618"
"20000211100166";"097626"
"20000307100018";"001616"
"20000307100025";"001366"
"20000307100032";"001363"
"20000307100063";"551978"
"20000307100070";"552018"
"20000307100131";"552034"
"20000307100155";"552026"
"20000307100209";"552059"
"20000307100223";"552067"
"20000309100375";"001878"
"20000309100399";"566182"
"20000310100180";"002871"
"20000310100197";"002882"
"20000310100203";"002860"
"20000310100210";"002896"
"20000310100227";"002838"
"20000310100234";"002813"
"20000310100258";"002937"
"20000310100265";"002927"
"20000310101040";"086324"
"20000412100019";"000622"
"20000412100026";"000609"
"20000412100033";"000443"
"20000414100048";"001938"
"20000414100062";"004059"
"20000505100223";"004302"
"20000505100407";"004324"
"20000505100599";"004346"
"20000505100742";"560582"
"20000505100759";"173718"
"20000505100766";"421023"
"20000505100797";"457760"
"20000505100810";"498169"
"20000505100827";"487849"
"20000505100858";"569302"
"20000505100865";"049899"
"20000531100303";"012495"
"20000531100402";"012486"
"20000531100471";"012497"
"20000531100488";"012454"
"20000531100563";"012465"
"20000717100011";"003159"
"20000721100519";"074757"
"20000821100013";"003859"
"20000821100020";"003880"
"20000825100439";"010390"
"20000825100446";"035836"
"20000825100453";"010406"
"20000825100460";"035847"
"20000825100477";"035858"
"20000825100484";"010461"
"20000825100491";"035870"
"20000825100507";"010474"
"20001013100019";"003423"
"20001013100057";"493886"
"20001013100071";"003831"
"20001013100088";"003809"
"20001017100015";"071431"
"20001017100022";"071225"
"20001020100125";"002794"
"20001020100132";"002762"
"20001120100025";"002373"
"20001121100017";"492850"
"20001201100036";"135457"
"20001201100043";"191557"
"20001201100074";"005233"
"20001201100135";"454081"
"20001208100015";"003773"
"20001215100015";"004931"
"20001215100022";"005064"
"20001215100060";"001474"
"20001215100381";"005226"
"20001215100480";"015763"
"20001215100527";"015771"
"20001215100541";"015760"
"20001215100756";"015782"
"20001215100770";"015793"
"20001215100992";"000911"
"20001215101029";"000866"
"20010118100015";"010347"
"20010118100022";"010370"
"20010118100053";"010412"
"20010118100084";"010430"
"20010118100091";"010485"
"20010126100748";"429350"
"20010205100010";"009013"
"20010205100034";"002114"
"20010209100474";"116772"
"20010223100320";"003919"
"20010223100337";"001480"
"20010228100028";"505367"
"20010228100035";"028676"
"20010228100042";"026657"
"20010228100059";"184080"
"20010306100018";"048389"
"20010309100138";"004551"
"20010309100145";"004631"
"20010309100213";"004686"
"20010309100220";"004675"
"20010309100237";"004651"
"20010309100282";"006267"
"20010309100312";"006278"
"20010323100039";"004872"
"20010323100077";"002464"
"20010323100107";"002559"
"20010323100114";"002531"
"20010323100145";"002563"
"20010323100169";"004891"
"20010323100480";"112031"
"20010323100497";"112040"
"20010406100086";"006110"
"20010406100123";"093978"
"20010406100468";"104716"
"20010420100062";"094122"
"20010425100012";"406998"
"20010504100070";"010989"
"20010509100037";"005565"
"20010509100044";"005507"
"20010514100022";"192773"
"20010514100039";"150565"
"20010514100046";"132409"
"20010518100028";"003942"
"20010518100035";"004097"
"20010601100249";"006154"
"20010601100256";"006210"
"20010601101765";"008529"
"20010601101772";"533471"
"20010601101802";"006223"
"20010601101819";"006232"
"20010601101840";"006245"
"20010601101871";"006256"
"20010629100146";"000921"
"20010629100153";"003568"
"20010629100207";"003579"
"20010629100351";"007428"
"20010629100368";"007408"
"20010629100436";"010551"
"20010629100481";"010435"
"20010629100511";"010523"
"20010629100733";"001165"
"20010629100771";"001176"
"20010720100144";"009710"
"20010720100304";"009732"
"20010720100458";"009752"
"20010720101608";"005919"
"20010720101622";"553305"
